DBH_in,HeighttoTop_ft,Species,CanopyWidth_ft,MostSignificantDefect,Failure_Standardized,ProbabilityofFailure
25.9,39.5,Camphor Tree,53,Decay,none,2
3.9,19.5,Live oak,12,Weak Branch Union,none,1
26.5,45.5,Live oak,62,Dead,none,3
22.7,54.5,Live oak,53,Weak Branch Union,none,1
16.4,28,Live oak,30,Weak Branch Union,none,2
17.7,44,Live oak,38,Poor Tree Architecture,none,1
3.5,14.5,Crapemyrtle,17,Dead,none,3
16,36,Camphor Tree,23,Poor Tree Architecture,none,1
7,24,Live oak,14,Weak Branch Union,none,1
4.6,24,Live oak,13,Weak Branch Union,none,1
5.5,23,Crapemyrtle,27,Poor Tree Architecture,none,1
28.5,42,Live oak,71,Root Problems,none,2
0.2,5,Carolina laurelcherry,5,"",none,1
3.9,16.5,Live oak,13,Weak Branch Union,none,1
16.7,43.5,Live oak,27,Weak Branch Union,none,2
10.2,33.5,Crapemyrtle,31,Weak Branch Union,none,1
29.3,44,Live oak,54,Dead,none,3
1.5,5.5,Crapemyrtle,5,Decay,none,2
7.4,25.5,Live oak,23,Weak Branch Union,none,1
4.2,21,Live oak,20,Dead,none,3
10.3,34.5,Live oak,26,Weak Branch Union,none,1
4.6,21.5,Live oak,14,Weak Branch Union,none,1
10.6,25.5,Crapemyrtle,27,Weak Branch Union,none,1
9.4,28,Live oak,28,Root Problems,none,3
10.1,29,Live oak,28,Crack,none,3
4.5,19,Live oak,12,Weak Branch Union,none,1
9.9,24,Live oak,25,Weak Branch Union,none,1
5,15,Live oak,16,Weak Branch Union,none,1
15.3,40.5,Live oak,47,Weak Branch Union,none,1
18.5,49,Live oak,43,Weak Branch Union,none,1
4.8,26,Live oak,15,Weak Branch Union,none,1
30.2,32,Camphor Tree,55,Dead,none,3
6.9,22,Laurel Oak,21,Weak Branch Union,none,2
24.7,55,Live oak,40,Dead,none,3
11.5,22,Live oak,28,Dead,none,3
22.3,46.5,Live oak,51,Dead,none,3
9.6,22.5,Crapemyrtle,26,Weak Branch Union,none,1
17.6,41.5,Live oak,43,Dead,none,1
23.5,30.5,Laurel Oak,46,Decay,none,4
27.6,45,Laurel Oak,48,Weak Branch Union,none,3
15.3,55.5,American elm,42,Decay,none,2
21.3,37,Live oak,49,Weak Branch Union,none,1
25.7,55,Live oak,40,Dead,none,3
14.9,33.5,Live oak,30,Weak Branch Union,none,1
16.4,27,Live oak,39,Dead,none,3
9.1,29,Crapemyrtle,29,Weak Branch Union,none,1
11.7,36,Live oak,34,Weak Branch Union,none,3
24.2,50.5,Live oak,52,Weak Branch Union,none,1
29.3,61.5,Laurel Oak,55,Weak Branch Union,none,3
9.2,31.5,Crapemyrtle,21,Weak Branch Union,none,1
7.3,33.5,Live oak,20,Root Problems,none,1
2.8,14.5,Live oak,10,Weak Branch Union,none,2
9,28.5,Live oak,31,Root Problems,none,2
20,42.5,Live oak,38,Weak Branch Union,none,1
6.3,23.5,Live oak,21,Poor Tree Architecture,none,2
17.6,48,Live oak,39,Weak Branch Union,none,2
12.3,34.5,Live oak,30,Dead,none,3
16.9,49.5,Live oak,38,Weak Branch Union,none,2
2.6,12,Live oak,11,Poor Tree Architecture,none,1
9,28.5,Live oak,33,Weak Branch Union,none,1
17,44,Live oak,40,Weak Branch Union,none,3
23.7,44.5,Live oak,55,Weak Branch Union,none,2
22.3,54.5,Live oak,43,Weak Branch Union,none,2
14.8,35,southern magnolia,26,Decay,none,2
7.4,45,Live oak,25,Poor Tree Architecture,none,1
17.8,28.5,Live oak,34.5,Poor Tree Architecture,none,1
24.4,65.5,Live oak,47,Decay,none,2
9.8,26.5,Live oak,24,Poor Tree Architecture,none,2
24,42,Live oak,47,Weak Branch Union,none,2
18.1,40,Live oak,34,Weak Branch Union,none,1
17.3,49.5,Live oak,41,Weak Branch Union,none,2
22.9,34.5,Live oak,44,Weak Branch Union,none,1
14.7,40,Live oak,27,Weak Branch Union,none,2
10.7,22.5,Live oak,23.5,Crack,none,2
12.5,37.5,Live oak,33,Weak Branch Union,none,1
15.2,39,Live oak,38,Dead,none,3
26.9,63,Live oak,45,"",none,3
12,28,Live oak,42,Weak Branch Union,none,2
10.8,32,Live oak,34,Weak Branch Union,none,1
28.2,55.5,Live oak,47,Dead,none,3
10.8,38,Live oak,22,Weak Branch Union,none,2
16.6,35.5,Live oak,33,Weak Branch Union,none,2
23.7,57,Live oak,46,Dead,none,3
8.4,26.5,Live oak,25,Weak Branch Union,none,1
33.4,48,Camphor Tree,41,Dead,none,3
16.2,38,Live oak,46,Root Problems,none,2
0.1,5,Carolina laurelcherry,7,"",none,1
25.6,40.5,Camphor Tree,43,Decay,none,2
17.2,34,Live oak,36,Weak Branch Union,none,2
21.2,39,Live oak,61,Weak Branch Union,none,1
21.2,42.5,Live oak,51,Weak Branch Union,none,1
23.8,50,Laurel Oak,54,Weak Branch Union,none,2
39.3,49,Laurel Oak,42,Decay,none,3
28.7,46.5,Camphor Tree,44,Dead,none,3
26.2,54.5,Live oak,44,Weak Branch Union,none,2
25.1,31,Camphor Tree,42,Dead,none,3
15.8,45.5,Live oak,37,Weak Branch Union,none,2
9.9,42,American elm,35,Weak Branch Union,none,2
22.9,50,Live oak,49,Decay,none,2
25.2,57,Live oak,45,Poor Tree Architecture,none,1
26.7,43.5,Live oak,67,Dead,none,3
27.7,53.5,Laurel Oak,56,Weak Branch Union,none,2
25.8,45.5,Live oak,53,Weak Branch Union,none,2
8.5,38,American elm,26,Weak Branch Union,none,2
16.3,51,Live oak,29,Weak Branch Union,none,1
23.4,34,Camphor Tree,52,Decay,none,2
25.3,57.5,Live oak,56,Weak Branch Union,none,1
3.6,22.5,Live oak,11,Weak Branch Union,none,1
7.2,21,Laurel Oak,20,Weak Branch Union,none,2
14,44.5,Laurel Oak,33,"",none,1
16.6,46.5,Live oak,26,Root Problems,none,2
3.8,21,Live oak,10,"",none,3
4.6,17,Chinese elm,21,Root Problems,none,2
13.2,31,Live oak,37,Weak Branch Union,none,2
18.6,35.5,Live oak,42,Weak Branch Union,none,2
21.2,67,Live oak,35,Poor Tree Architecture,none,1
15.2,37.5,Live oak,38,Dead,branch,3
20.7,53.5,Live oak,39,Weak Branch Union,branch,1
38.6,42,Live oak,68,Decay,whole,2
10,32,Live oak,18,Dead,branch,3
21.6,43,Live oak,37,Weak Branch Union,none,2
8.1,26.5,Live oak,21,"",none,2
24,50,Live oak,44,Dead,none,3
8.1,29,Live oak,31,Weak Branch Union,none,2
4,20.5,Laurel Oak,15,Poor Tree Architecture,none,2
20.4,30,Laurel Oak,50,Decay,none,2
2,7.5,Crapemyrtle,12,Poor Tree Architecture,none,1
13.9,47.5,Live oak,39,Weak Branch Union,none,1
6.5,10,Crapemyrtle,10,Weak Branch Union,none,1
1.9,6.5,Crapemyrtle,4,Poor Tree Architecture,none,2
18,53.5,Live oak,47,Poor Tree Architecture,none,1
16.3,21,Crapemyrtle,23,Root Problems,none,2
11.5,18,Crapemyrtle,17,Weak Branch Union,none,1
3,11.5,Crapemyrtle,12,Weak Branch Union,none,1
2.3,23,Crapemyrtle,19,Weak Branch Union,none,1
1,6,Crapemyrtle,8,Poor Tree Architecture,none,2
25.5,29.5,Camphor Tree,37,Decay,none,3
2.1,7.5,Crapemyrtle,5,Poor Tree Architecture,none,3
4.1,23.5,Live oak,11,Weak Branch Union,none,1
0.2,5,Carolina laurelcherry,5,"",none,1
7.8,27.5,Laurel Oak,17,"",none,2
13.4,34,Live oak,33,Dead,none,3
0.8,8.5,Carolina laurelcherry,5,"",none,1
11.4,37,Live oak,25,Poor Tree Architecture,none,1
4.8,22.5,Live oak,14,Weak Branch Union,none,1
4.3,20,Live oak,15,Weak Branch Union,none,1
0.1,3,Carolina laurelcherry,4,"",none,1
20.8,42,Live oak,55,Weak Branch Union,none,2
20.2,46,Live oak,60,Weak Branch Union,none,1
9.5,23.5,Chinese elm,35,Dead,none,3
0.1,4.5,Carolina laurelcherry,5,"",none,1
15.7,47,Laurel Oak,33,Weak Branch Union,none,1
8,19,Live oak,25,Poor Tree Architecture,none,1
5,27,Live oak,11,Weak Branch Union,none,1
29.5,46.5,Live oak,66,Weak Branch Union,none,1
2.9,9.5,Live oak,13,Weak Branch Union,none,2
10.8,35,Live oak,22,Weak Branch Union,none,1
3.7,17,Laurel Oak,16,Poor Tree Architecture,none,1
4.3,22,Live oak,12,Weak Branch Union,none,1
13.7,38.5,Live oak,26,Poor Tree Architecture,none,1
18.5,42,Live oak,45,Dead,none,3
11.5,40.5,Live oak,26,Weak Branch Union,none,1
18.8,41,Live oak,46,Weak Branch Union,none,1
29.4,43.5,sand live oak,36,Decay,branch,3
5.1,16.5,Live oak,16,Leaning Tree,none,1
9.8,24,southern magnolia,21,Dead,none,3
1.8,12,Crapemyrtle,13,Poor Tree Architecture,none,1
8.7,30.5,Chinese elm,33,Root Problems,none,2
28.1,46,Live oak,59,Dead,none,3
34,48.5,Live oak,67,Weak Branch Union,none,1
0.3,5.5,Live oak,4,Poor Tree Architecture,none,1
17.3,40,Live oak,45,Weak Branch Union,none,2
7.6,31,Live oak,22,Weak Branch Union,none,1
8.8,12,Crapemyrtle,15,Weak Branch Union,none,1
2.5,16.5,Laurel Oak,14,Poor Tree Architecture,none,3
4.5,22,Live oak,11,Dead,none,3
15.5,35,Live oak,40,Weak Branch Union,none,1
5.5,23.5,Live oak,21,Weak Branch Union,none,1
1,15,Carolina laurelcherry,7,Leaning Tree,none,1
1,15,Carolina laurelcherry,7,Poor Tree Architecture,none,2
5.2,11.5,Crapemyrtle,12,Weak Branch Union,none,1
5.3,31,Live oak,20,Leaning Tree,none,1
1,15,Carolina laurelcherry,6,Poor Tree Architecture,none,2
0.1,4.5,Chinese elm,4,"",none,1
1.5,13,Crapemyrtle,10,Poor Tree Architecture,none,1
1,15,Carolina laurelcherry,7,Poor Tree Architecture,none,1
1,15,Carolina laurelcherry,6,Poor Tree Architecture,none,1
1,15,Carolina laurelcherry,6,Decay,none,2
1,15,Carolina laurelcherry,7,Poor Tree Architecture,none,3
4.3,18.5,Live oak,14,Leaning Tree,none,1
1,15,Carolina laurelcherry,7,Weak Branch Union,none,2
1,15,Carolina laurelcherry,7,Poor Tree Architecture,none,1
14.1,32.5,Live oak,39,Weak Branch Union,none,1
1,15,Carolina laurelcherry,6,Poor Tree Architecture,none,1
1,15,Carolina laurelcherry,6,Leaning Tree,none,1
29.4,58.5,sand live oak,43,Decay,branch,3
3.1,12,Laurel Oak,7,Decay,none,3
7.2,27,Live oak,22,Poor Tree Architecture,none,1
28.1,45,Live oak,50,Weak Branch Union,none,2
10.9,38.5,Laurel Oak,22,Weak Branch Union,none,1
1,15,Carolina laurelcherry,5,Poor Tree Architecture,none,2
25.4,49.5,Live oak,41,Poor Tree Architecture,branch,2
8,22,Live oak,25,Poor Tree Architecture,branch,1
15.2,30,Live oak,38,Dead,branch,3
24.4,53.5,Live oak,47,Dead,branch,3
20.6,46.5,Laurel Oak,27,Decay,branch,3
6.4,19,Live oak,23,Weak Branch Union,branch,1
5,24.5,Live oak,13,"",none,1
4.7,18.5,Live oak,12,Weak Branch Union,none,1
6.5,23,Live oak,22,Weak Branch Union,none,1
5.4,25.5,Live oak,14,Weak Branch Union,none,1
69.3,55,Live oak,88,Weak Branch Union,none,1
21.5,46,Live oak,47,Weak Branch Union,none,1
29.5,60,Live oak,45,Dead,branch,3
49,57,Laurel Oak,70,Decay,branch,3
4.9,22.5,Live oak,14,"",none,1
23.8,44,Laurel Oak,39,Decay,branch,3
20.1,48,Live oak,45,Weak Branch Union,none,2
7.2,29,Live oak,18,Weak Branch Union,none,2
0.2,5,Live oak,4,"",none,1
17.4,41.5,Live oak,44,Weak Branch Union,none,1
19.5,36,Live oak,37,Weak Branch Union,none,2
19.3,57,Live oak,42,Weak Branch Union,none,1
8,23.5,Chinese elm,31,Weak Branch Union,none,2
4.1,18,Live oak,11,Weak Branch Union,none,1
5.9,18.5,Live oak,15,Weak Branch Union,none,1
9.8,23,Live oak,23,Dead,none,3
2.1,11.5,Crapemyrtle,9,Leaning Tree,none,1
25.9,51.5,Live oak,47,Weak Branch Union,none,1
24,48.5,Laurel Oak,36,Decay,branch,4
18.4,51.5,Laurel Oak,48,"",branch,3
25,65,Live oak,58,Canker,branch,2
40.2,56,Camphor Tree,83,Weak Branch Union,branch,2
0.5,6.5,brazilian pepper,4,Leaning Tree,none,1
4.7,29.6,Live oak,17,Weak Branch Union,none,1
6.8,12,Crapemyrtle,14,Weak Branch Union,none,1
1.5,4,Japanese Privet,6,Weak Branch Union,none,1
1.8,12,Crapemyrtle,10,Poor Tree Architecture,none,1
22,48,Laurel Oak,44,Dead,branch,3
4.4,18.5,Live oak,11,Weak Branch Union,none,1
23.3,43,Live oak,48,"",none,3
20.3,47,Live oak,39,Weak Branch Union,none,1
4.3,16.5,Live oak,17,Poor Tree Architecture,none,1
2,12,Crapemyrtle,11,Poor Tree Architecture,none,1
22.4,33.5,Camphor Tree,48,Decay,none,2
7.5,18.5,Chinese elm,23,Dead,none,3
24.8,57,Live oak,47,Weak Branch Union,none,1
18.8,30,Camphor Tree,45,Decay,none,2
4.8,23,Live oak,16,Weak Branch Union,none,1
3,15,Live oak,11,Weak Branch Union,none,1
8.3,28.5,Live oak,25,Poor Tree Architecture,none,1
19.1,43.5,Live oak,62,Weak Branch Union,none,1
0.3,5,Carolina laurelcherry,4,"",none,1
1.5,14,Crapemyrtle,5,Dead,none,3
6.4,18,Live oak,21,Weak Branch Union,none,2
4.5,23,Live oak,14,Decay,none,1
19.5,46,Laurel Oak,27,Decay,whole,3
15.5,36.5,Live oak,34,Weak Branch Union,none,1
4,17,American elm,12,Weak Branch Union,none,3
36.4,52,Laurel Oak,54,Dead,whole,4
29,56,Laurel Oak,38,Decay,branch,3
26.8,47.5,Live oak,67,Weak Branch Union,branch,1
21.7,33,Live oak,67,Dead,branch,3
51,48.5,Laurel Oak,88,Decay,branch,2
32,50.5,Live oak,63,Weak Branch Union,branch,1
0.1,4,Carolina laurelcherry,4,"",none,1
0.1,5.5,Carolina laurelcherry,4,"",none,1
4.8,13.5,Crapemyrtle,12,Poor Tree Architecture,none,1
8.4,23,Chinese elm,28,Root Problems,none,2
0.3,8,Carolina laurelcherry,6,"",none,1
0.4,9,Carolina laurelcherry,6,"",none,1
15.9,39,Live oak,36,Weak Branch Union,none,1
0.2,7,Carolina laurelcherry,5,"",none,1
0.5,11,Carolina laurelcherry,6,"",none,1
0.1,6,Carolina laurelcherry,4,"",none,1
4.4,30.5,Live oak,15,Dead,none,3
23.9,31,Camphor Tree,28,Dead,none,3
52.5,67,Live oak,117,Weak Branch Union,branch,1
23.8,43,Camphor Tree,54,Weak Branch Union,branch,2
33.5,56,Live oak,74,Weak Branch Union,branch,1
15.8,34.5,Laurel Oak,34,Decay,branch,1
22.8,51.5,Camphor Tree,46,Weak Branch Union,branch,2
37.4,54.5,Live oak,68,Dead,branch,3
21.9,53,Live oak,63,Weak Branch Union,branch,1
23.2,47.5,Live oak,60,Dead,branch,3
21.8,52.5,Laurel Oak,50,Weak Branch Union,branch,2
41.8,43.5,Camphor Tree,45,Weak Branch Union,branch,2
46,65,Live oak,107,Dead,branch,3
23.8,50,Live oak,44,Weak Branch Union,branch,1
12.3,29,Chinese elm,35,Decay,branch,2
11.5,26.5,Live oak,18,Leaning Tree,whole,3
14.5,32.5,Camphor Tree,23,"",whole,3
22,35,Camphor Tree,30,Decay,branch,2
19.7,48.5,Live oak,52,Weak Branch Union,branch,1
28.8,41,Camphor Tree,42,Dead,whole,3
15.3,30,Camphor Tree,22,Dead,whole,3
25.8,55.5,Live oak,52,Dead,branch,3
19.4,45,Live oak,59,Dead,branch,3
10.2,29,Laurel Oak,33,Decay,whole,1
24,45.5,Live oak,50,Dead,branch,3
29.4,42,Live oak,55,Dead,whole,3
24.5,36,Live oak,57,Weak Branch Union,branch,1
19.1,44.5,Live oak,47,Weak Branch Union,branch,1
28.3,63,Live oak,52,Weak Branch Union,branch,1
29.1,50.5,Laurel Oak,43,Dead,branch,4
3.1,19.5,Chinese elm,16,Leaning Tree,whole,2
24.1,50,Live oak,52,Dead,branch,3
25.4,36.5,Laurel Oak,57,Weak Branch Union,branch,2
19.2,42.5,Live oak,42,Weak Branch Union,none,2
10,32.5,Live oak,30,Weak Branch Union,none,1
0.5,7.5,Carolina laurelcherry,8,"",none,1
2,11,Crapemyrtle,9,Weak Branch Union,none,1
0.5,5.5,Chinese elm,7,Poor Tree Architecture,none,2
8.1,18.5,Crapemyrtle,19,Weak Branch Union,none,1
0.1,5,Carolina laurelcherry,7,"",none,1
14.8,41.5,Live oak,33,Weak Branch Union,none,2
4.2,20.5,Live oak,14,Weak Branch Union,none,1
5.8,22.5,Crapemyrtle,24,Poor Tree Architecture,none,1
5.4,23.5,Live oak,13,Weak Branch Union,none,1
32,53,Live oak,78,Poor Tree Architecture,none,1
4.7,22.5,Live oak,19,Weak Branch Union,none,1
2,9,Weeping Bottlebrush,9,Weak Branch Union,none,1
9.8,10.5,Crapemyrtle,9,Weak Branch Union,none,1
22.8,39.5,Live oak,58,Dead,none,3
11.1,42,Laurel Oak,27,Weak Branch Union,none,1
14.1,19.5,Live oak,27,Weak Branch Union,none,1
11.1,36.5,Live oak,30,Weak Branch Union,none,1
3.6,22,Live oak,13,Weak Branch Union,none,1
4.3,18,Live oak,13,Weak Branch Union,none,1
19.8,56,Live oak,43,Weak Branch Union,none,1
25.4,43,Camphor Tree,52,Weak Branch Union,none,1
17.4,31.5,Camphor Tree,29,Decay,none,3
1.3,8,Chinese elm,6,Poor Tree Architecture,none,2
13,37.5,Live oak,35,Weak Branch Union,none,1
24.1,57.5,Live oak,51,Dead,none,3
16.9,42,Laurel Oak,44,Weak Branch Union,branch,2
21.8,53.5,Laurel Oak,52,Dead,branch,3
30.3,35,Camphor Tree,43,Dead,branch,3
15.8,21,Live oak,33,Dead,branch,3
24.7,57.5,Live oak,44,Weak Branch Union,branch,1
33.1,43.5,Live oak,52,Crack,branch,4
27,42.5,Laurel Oak,37,Dead,branch,3
14.8,36.5,Live oak,49,Weak Branch Union,whole,1
37.2,58.5,Live oak,68,Weak Branch Union,branch,1
22.5,60,Laurel Oak,42,Dead,branch,4
23.4,52.5,Laurel Oak,45,Weak Branch Union,branch,2
26.2,46.5,Laurel Oak,52,Decay,branch,2
22.8,41.5,Laurel Oak,48,Weak Branch Union,branch,2
25.3,30.5,Camphor Tree,39,Dead,branch,3
32.7,58.5,Live oak,68,Weak Branch Union,branch,1
40,57.5,Laurel Oak,57,Weak Branch Union,branch,2
24.4,43.5,Camphor Tree,39,"",branch,2
32,44,Laurel Oak,51,Weak Branch Union,branch,2
17.8,50.5,Laurel Oak,46,"",branch,2
12.9,33.5,Live oak,23,Weak Branch Union,branch,2
23.2,53.5,Laurel Oak,42,Weak Branch Union,branch,2
33.5,56.5,Laurel Oak,48,Weak Branch Union,branch,2
18.5,53,Laurel Oak,42,Weak Branch Union,branch,2
17.1,55.5,Live oak,24,Poor Tree Architecture,branch,2
2.1,15,Camphor Tree,8,Poor Tree Architecture,whole,2
4.2,15,Camphor Tree,13,Poor Tree Architecture,whole,2
1.6,15,Camphor Tree,15,"",whole,2
14,28.5,Live oak,27,Weak Branch Union,branch,2
22.2,55,Live oak,32,Weak Branch Union,none,1
24.3,43,Live oak,71,Dead,none,3
2.2,10,Weeping Bottlebrush,10,Weak Branch Union,none,1
33.3,40.5,Camphor Tree,41,Decay,none,2
23.8,47.5,Live oak,44,Weak Branch Union,none,1
19.8,50.5,Live oak,37,Weak Branch Union,none,1
24.2,46.5,Laurel Oak,42,Weak Branch Union,none,3
24.2,52.5,Live oak,45,Poor Tree Architecture,none,1
2.5,8,Live oak,11,Poor Tree Architecture,none,3
5.8,18,Live oak,19,Weak Branch Union,none,1
1.9,13,Oleander,20,Poor Tree Architecture,none,1
4.5,19.5,Live oak,15,Weak Branch Union,none,1
22.8,49.5,Live oak,58,Weak Branch Union,branch,1
33,48.5,Live oak,46,Root Problems,branch,1
23.4,45,Laurel Oak,46,Dead,branch,3
22.7,39,Camphor Tree,33,Dead,branch,3
19.2,44.5,Live oak,42,Weak Branch Union,branch,3
23,38.5,Camphor Tree,58,Dead,branch,3
17.4,52,Live oak,38,Dead,branch,3
45.3,59.5,Laurel Oak,70,Decay,branch,3
16.6,38,Live oak,39,Weak Branch Union,branch,2
1.8,9,Oleander,11,Poor Tree Architecture,whole,1
3.4,16.5,Crapemyrtle,13,Weak Branch Union,whole,1
0.7,3.5,Crapemyrtle,6,Poor Tree Architecture,whole,2
5.8,19.5,Chinese elm,26,Leaning Tree,whole,1
15.7,28,Camphor Tree,32,Dead,branch,3
28.5,40.5,Camphor Tree,57,Decay,branch,1
27.9,60.5,Laurel Oak,65,Weak Branch Union,branch,2
26.3,58.5,Live oak,71,Weak Branch Union,branch,1
17.8,35.5,Laurel Oak,39,Dead,whole,3
24.9,36,Camphor Tree,67,Decay,branch,1
23,57,Live oak,51,Weak Branch Union,none,2
4.7,21,Live oak,11,Weak Branch Union,none,1
23.2,46,American elm,54,Dead,none,2
6.2,25.5,Live oak,16,Weak Branch Union,none,1
5.6,18.5,Live oak,23,Weak Branch Union,none,1
15.3,38,Live oak,31,Dead,none,3
21.6,46,Live oak,50,Dead,none,3
16,38,Live oak,50,Weak Branch Union,none,2
2.1,11,Live oak,9,Weak Branch Union,none,1
25.4,40.5,Camphor Tree,59,Decay,whole,1
17.8,34.5,Live oak,46,Dead,branch,3
28.2,37.5,Laurel Oak,41,Decay,branch,3
24.4,43.5,Live oak,55,Weak Branch Union,branch,2
0.3,6,Carolina laurelcherry,5,"",whole,1
5.5,19,Live oak,14,Poor Tree Architecture,branch,1
19.4,32.5,Live oak,54,Weak Branch Union,branch,2
17.3,40,Live oak,45,Poor Tree Architecture,branch,1
20.5,36,Camphor Tree,38,Dead,branch,3
2.2,9.5,Crapemyrtle,9,Poor Tree Architecture,whole,1
2.8,13,Crapemyrtle,13,Weak Branch Union,whole,1
13,44,Live oak,27,Dead,none,3
12.4,35,Live oak,24,Root Problems,none,2
32,50.5,Live oak,80,Decay,none,3
18,45,Live oak,37,Weak Branch Union,none,1
2.8,13,southern magnolia,9,"",none,1
11.7,35,Laurel Oak,46,Poor Tree Architecture,none,2
10.5,40,Live oak,25,Weak Branch Union,none,2
13.2,25,Live oak,32,Weak Branch Union,none,1
26,53,Laurel Oak,40,Weak Branch Union,none,3
14.4,52.5,Laurel Oak,24,Decay,none,3
25.2,60.5,Live oak,47,Weak Branch Union,none,1
14.5,37.5,Live oak,43,Weak Branch Union,none,1
26.5,50,Live oak,44,Dead,none,3
8.5,31,Live oak,28,Weak Branch Union,none,1
4.7,21,Live oak,12,Weak Branch Union,none,1
1.7,11,Crapemyrtle,16,"",none,1
21.4,47,Live oak,55,Decay,none,2
16.2,46.5,Live oak,27,Weak Branch Union,none,1
9.8,26,Live oak,17,Weak Branch Union,none,1
9.1,36,Live oak,22,Dead,none,3
14.5,53.5,Live oak,26,Dead,none,3
9.8,34,Live oak,25,Weak Branch Union,none,2
3.7,19.5,Live oak,10,Weak Branch Union,none,1
16,39,Live oak,39,Weak Branch Union,none,1
2.1,14.5,Crapemyrtle,15,Weak Branch Union,none,1
23.1,50,Live oak,50,Poor Tree Architecture,none,1
2.8,21.5,American elm,14,Poor Tree Architecture,none,2
30.8,48,Camphor Tree,63,Dead,branch,3
16.9,47.5,Laurel Oak,31,Weak Branch Union,branch,1
16.6,42.5,Live oak,45,Dead,branch,3
36.8,42.5,Camphor Tree,51,Weak Branch Union,branch,1
17.2,44,Laurel Oak,36,Weak Branch Union,branch,1
33.2,44.5,Camphor Tree,41,Weak Branch Union,branch,1
16.4,30,Live oak,37,Poor Tree Architecture,branch,1
18,51,Live oak,44,Dead,branch,3
40.2,40.5,Laurel Oak,54,Dead,whole,3
25.7,36.5,Camphor Tree,53,Decay,branch,3
3.8,12,Crapemyrtle,13,Poor Tree Architecture,whole,2
17.4,39,Laurel Oak,33,Dead,branch,3
19.1,50.5,Laurel Oak,35,Weak Branch Union,branch,2
25.6,57.5,Live oak,53,Weak Branch Union,branch,1
31.5,33,Camphor Tree,45,Dead,branch,3
25.8,41,Camphor Tree,50,Dead,branch,3
10.3,31,Live oak,22,Poor Tree Architecture,whole,1
27.6,31,Camphor Tree,42,Decay,branch,2
16.5,24,Live oak,40,Root Problems,whole,2
13,48,Live oak,48,Root Problems,branch,1
11.9,27,Live oak,35,Root Problems,whole,2
31.4,52.5,Live oak,60,Dead,branch,3
12.7,46.5,Live oak,36,Weak Branch Union,branch,2
25,59.5,Laurel Oak,60,Weak Branch Union,branch,3
25,42.5,Laurel Oak,48,Decay,branch,2
27.3,55.5,Laurel Oak,48,Weak Branch Union,branch,2
13.9,52,Live oak,43,Weak Branch Union,branch,1
13.5,29.5,Live oak,34,Weak Branch Union,whole,1
3,21.5,Crapemyrtle,19,Weak Branch Union,whole,1
33.3,45.5,Camphor Tree,46,Decay,branch,3
23.8,59,Laurel Oak,44,Weak Branch Union,branch,3
20.2,56,Laurel Oak,39,Weak Branch Union,branch,2
22.5,31.5,Camphor Tree,36,Decay,branch,3
15.3,28.5,Live oak,35,Weak Branch Union,whole,2
25.4,47.5,Laurel Oak,51,Weak Branch Union,branch,2
24,53,Laurel Oak,43,Decay,branch,2
15.7,48,Laurel Oak,33,Dead,branch,4
11,26.5,Live oak,32,Weak Branch Union,whole,1
18,30,Laurel Oak,35,Decay,branch,4
26.9,50.5,Laurel Oak,59,Weak Branch Union,branch,2
18,32,Live oak,43,Root Problems,whole,2
14.1,39,Laurel Oak,37,Decay,branch,2
19.4,55.5,Live oak,37,Dead,branch,3
28.7,51.5,Laurel Oak,61,Weak Branch Union,branch,2
26,48,Live oak,54,Dead,branch,3
7.2,14,Camphor Tree,20,Decay,none,2
1,12.5,Laurel Oak,7,"",none,1
19.5,49.5,Live oak,33,Weak Branch Union,none,1
10.9,32.5,Live oak,30,Dead,none,3
13.1,42,Laurel Oak,30,Weak Branch Union,none,2
10.5,33,Live oak,33,Weak Branch Union,none,1
16.8,43,Live oak,49,Dead,none,3
12.9,32,Live oak,32,Weak Branch Union,none,1
14.5,55,Live oak,29,Weak Branch Union,none,1
4.1,21.5,Live oak,12,Weak Branch Union,none,1
14.6,45.5,Laurel Oak,43,Decay,none,2
11.2,47,Live oak,30,Root Problems,none,2
0.1,5,Carolina laurelcherry,5,"",none,1
9.9,33.5,Live oak,26,Weak Branch Union,none,1
12,22.5,Live oak,34,Poor Tree Architecture,none,1
15.6,43,Live oak,32,Root Problems,none,2
20.8,53,Live oak,46,Weak Branch Union,none,1
13.8,37,Live oak,27,Weak Branch Union,none,2
0.1,6,Carolina laurelcherry,6,"",none,1
15.1,39,Live oak,32,Dead,none,3
4.5,19.5,Live oak,12,Weak Branch Union,none,1
12.5,40.5,Laurel Oak,30,Decay,none,3
16.3,40.5,Live oak,45,Weak Branch Union,none,1
2.8,17.5,red maple,8,Weak Branch Union,none,1
15.9,45,Live oak,37,Dead,none,3
2,13,Live oak,11,Weak Branch Union,none,1
4.5,17,Live oak,13,Weak Branch Union,none,1
24,51.5,Live oak,45,Weak Branch Union,none,1
4.8,18.5,Live oak,15,Weak Branch Union,none,1
23.4,45.5,Live oak,54,Dead,none,3
12.9,39.5,Live oak,27,Dead,none,3
3,13,baldcypress,7,"",none,1
0.1,3,surinam cherry,5,Decay,none,2
3.6,21,Live oak,11,"",none,1
4.3,19,Live oak,21,"",none,1
2.5,12,Live oak,10,Weak Branch Union,none,1
13.1,41.5,Live oak,27,Weak Branch Union,none,1
19.8,37.5,Live oak,33,Weak Branch Union,none,1
12.5,35,Live oak,24,Weak Branch Union,none,2
